maxIntensity,f2,mean_MFCC_2nd_coef,mean_MFCC_3rd_coef,mean_MFCC_6th_coef,std_Log_energy,std_MFCC_6th_coef,std_MFCC_10th_coef,std_delta_log_energy,std_4th_delta,std_5th_delta,std_6th_delta,std_7th_delta,std_8th_delta,std_9th_delta,std_10th_delta,std_11th_delta,std_delta_delta_log_energy,std_4th_delta_delta,std_5th_delta_delta,std_6th_delta_delta,std_7th_delta_delta,std_8th_delta_delta,std_9th_delta_delta,std_10th_delta_delta,std_11th_delta_delta,std_12th_delta_delta,app_entropy_shannon_9_coef,tqwt_energy_dec_6,tqwt_energy_dec_7,tqwt_energy_dec_11,tqwt_energy_dec_12,tqwt_energy_dec_13,tqwt_energy_dec_19,tqwt_energy_dec_21,tqwt_energy_dec_26,tqwt_energy_dec_35,tqwt_entropy_shannon_dec_6,tqwt_entropy_shannon_dec_9,tqwt_entropy_shannon_dec_10,tqwt_entropy_shannon_dec_11,tqwt_entropy_shannon_dec_12,tqwt_entropy_shannon_dec_13,tqwt_entropy_shannon_dec_14,tqwt_entropy_shannon_dec_15,tqwt_entropy_shannon_dec_16,tqwt_entropy_shannon_dec_17,tqwt_entropy_shannon_dec_33,tqwt_entropy_log_dec_13,tqwt_entropy_log_dec_16,tqwt_entropy_log_dec_25,tqwt_entropy_log_dec_27,tqwt_entropy_log_dec_34,tqwt_entropy_log_dec_35,tqwt_TKEO_mean_dec_5,tqwt_TKEO_mean_dec_6,tqwt_TKEO_mean_dec_10,tqwt_TKEO_mean_dec_11,tqwt_TKEO_mean_dec_12,tqwt_TKEO_mean_dec_13,tqwt_TKEO_mean_dec_14,tqwt_TKEO_mean_dec_16,tqwt_TKEO_mean_dec_17,tqwt_TKEO_mean_dec_19,tqwt_TKEO_mean_dec_32,tqwt_TKEO_mean_dec_34,tqwt_TKEO_mean_dec_36,tqwt_TKEO_std_dec_9,tqwt_TKEO_std_dec_12,tqwt_TKEO_std_dec_13,tqwt_TKEO_std_dec_14,tqwt_TKEO_std_dec_15,tqwt_TKEO_std_dec_16,tqwt_TKEO_std_dec_17,tqwt_medianValue_dec_34,tqwt_medianValue_dec_36,tqwt_meanValue_dec_36,tqwt_stdValue_dec_6,tqwt_stdValue_dec_7,tqwt_stdValue_dec_13,tqwt_stdValue_dec_14,tqwt_stdValue_dec_15,tqwt_stdValue_dec_16,tqwt_stdValue_dec_21,tqwt_stdValue_dec_33,tqwt_minValue_dec_13,tqwt_minValue_dec_14,tqwt_minValue_dec_15,tqwt_minValue_dec_17,tqwt_minValue_dec_26,tqwt_maxValue_dec_12,tqwt_maxValue_dec_13,tqwt_maxValue_dec_14,tqwt_maxValue_dec_15,tqwt_maxValue_dec_16,tqwt_maxValue_dec_17,tqwt_kurtosisValue_dec_17,tqwt_kurtosisValue_dec_18,tqwt_kurtosisValue_dec_26,tqwt_kurtosisValue_dec_36
82.17406959,1426.875907,-2.5148,-3.0865,-0.46981,0.16595,0.2782,0.2252,0.025586,0.03817,0.045652,0.049025,0.030909,0.0369,0.041559,0.037745,0.026534,0.010212,0.01746,0.019815,0.022547,0.015022,0.017566,0.017887,0.01656,0.013282,0.016944,-8790788645.0,0.00012088,0.00033537,0.0054607,0.029147,0.095117,0.020872,0.0013965,1.37e-05,5.04e-07,9.3966,109.8602,164.7371,233.4492,838.2786,1645.3026,1938.2305,1993.5793,1531.0924,1438.7131,0.061817,-54901.4368,-20740.3221,-15611.7976,-10057.2875,-4049.7375,-3471.7041,2.06e-05,2.93e-05,0.0021778,0.002365,0.017168,0.090898,0.20201,0.37,0.33154,0.07436,4.95e-05,3.08e-05,7.02e-05,0.0012804,0.015191,0.084458,0.19228,0.26119,0.30944,0.17855,-8.95e-05,-0.013067,-0.012356,0.0045698,0.0083381,0.24265,0.36114,0.47411,0.46952,0.060972,0.0048812,-0.67018,-0.92952,-1.0713,-0.96115,-0.043389,0.46299,0.67018,0.89562,1.0483,1.1492,0.96115,1.9314,2.2785,3.8276,87.9815
79.24391413,1175.008835,0.81424,1.7792,-1.5591,0.085311,0.24802,0.20345,0.01141,0.039937,0.029128,0.030225,0.030656,0.025995,0.02933,0.026198,0.025377,0.0043391,0.019783,0.016591,0.015155,0.016198,0.013755,0.014367,0.013897,0.012114,0.013376,-4049170990.0,0.0011293,0.0015982,0.00019009,0.0012569,0.013209,0.095854,0.029657,0.039986,8.36e-05,42.3484,93.7553,39.8223,8.1659,43.9534,302.1261,778.0654,1011.3624,1116.4224,1236.1868,1.6171,-84501.8189,-28130.8593,-2488.0711,-7915.8299,-2447.1574,-1929.5509,8.14e-05,0.00018665,0.00040055,7.38e-05,0.00019886,0.0047842,0.034481,0.099025,0.22289,0.19763,0.00084944,0.0014622,0.013469,0.0014581,0.00030115,0.0038691,0.027611,0.054804,0.076507,0.15438,-0.00095261,-0.0018247,-0.00052604,0.010749,0.014008,0.069587,0.14863,0.20676,0.25871,0.21623,0.027946,-0.2011,-0.40723,-0.56096,-0.82866,-0.72683,0.061899,0.19298,0.41138,0.5981,0.67299,0.84556,2.1769,2.3702,1.626,5.4267
65.37350141,1373.580483,2.7621,-1.6101,-1.2826,0.1681,0.2285,0.20759,0.024927,0.041027,0.030468,0.035278,0.037697,0.026155,0.039153,0.027503,0.02533,0.011005,0.019073,0.01471,0.016945,0.01686,0.014848,0.01761,0.01326,0.012902,0.012063,-3696253783.0,2.61e-05,0.00012326,0.00043196,0.0042013,0.019953,0.061864,0.066173,0.14167,1.14e-05,0.070669,1.3785,1.0197,0.87239,6.9053,26.7409,40.4046,31.6011,45.5903,48.3951,0.054579,-124169.6248,-62653.6249,-6116.2884,-8560.5556,-3820.0939,-2993.2762,3.02e-08,1.17e-07,7e-06,3.85e-06,3.87e-05,0.00039416,0.00099464,0.0016056,0.0022563,0.0044877,5.48e-05,1.09e-05,1.7e-05,1.27e-05,4.53e-05,0.00035754,0.00091441,0.0010546,0.0016609,0.0026655,2.86e-06,-0.015649,-0.015855,0.00031288,0.00074532,0.016386,0.023257,0.022745,0.031069,0.061883,0.0038987,-0.051186,-0.071658,-0.082805,-0.12884,-0.23792,0.022952,0.051186,0.076769,0.0815,0.10735,0.12884,3.4571,3.1081,1.5458,7.7274
80.05999308,1486.843148,-2.0875,-0.65913,-1.6853,0.17682,0.28551,0.2317,0.018789,0.040682,0.040192,0.030775,0.037769,0.034373,0.027794,0.031999,0.029477,0.0071504,0.018394,0.015917,0.015578,0.016573,0.013928,0.011596,0.013017,0.012851,0.014172,-7720400177.0,0.00079502,0.0033059,0.0029671,0.017396,0.046094,0.061891,0.016688,6.14e-05,3.25e-05,31.4743,176.3987,90.0412,92.2753,388.3868,772.4955,793.7594,895.787,1197.2804,1373.7883,1.3127,-69082.834,-27610.3743,-7381.4315,-13671.7357,-2421.6402,-2106.993,2.36e-05,7.87e-05,0.0010259,0.00064419,0.0065142,0.029091,0.038187,0.14447,0.2683,0.09456,0.00039044,0.0016685,0.018118,0.0032154,0.0060001,0.025094,0.034357,0.051009,0.13574,0.18647,-0.00059326,0.0022924,-0.0021705,0.0090559,0.020229,0.13053,0.15191,0.19121,0.30111,0.16287,0.024704,-0.38748,-0.50256,-0.60626,-1.0047,-0.27769,0.22517,0.39088,0.49659,0.60066,0.97915,1.0069,2.019,1.8035,233.9534,4.2376
80.86959097,1067.523782,0.46218,1.5295,-1.7235,0.31619,0.56573,0.28943,0.054311,0.13189,0.11821,0.094628,0.051272,0.045835,0.036366,0.047547,0.037192,0.019394,0.06245,0.05745,0.044451,0.023711,0.020269,0.01722,0.021403,0.015931,0.019215,-3409818582.0,0.00027526,0.00019765,0.001692,0.0006161,0.0053157,0.062144,0.03156,0.063407,5.19e-06,12.2937,69.5186,102.9593,57.3913,23.5276,151.6309,552.4121,922.5435,1090.6149,1187.6245,1.6606,-96261.1912,-29524.8012,-2976.8255,-5380.4612,-3318.3259,-2792.1604,0.00016586,4.69e-05,0.0014225,0.00079742,0.00021937,0.0016095,0.018728,0.1176,0.26542,0.11051,0.0029444,0.00021022,0.0004372,0.0010451,0.00050135,0.0017815,0.01753,0.068216,0.12998,0.25001,0.00017176,0.00027793,0.0016258,0.0054853,0.0050917,0.045629,0.11852,0.20256,0.28075,0.23056,0.027137,-0.15651,-0.44525,-0.72067,-1.1499,-0.97465,0.09766,0.16099,0.46212,0.7495,0.87469,1.1918,2.626,2.2098,1.8064,76.3799
79.44034003,1157.220738,1.7732,3.3942,0.50186,0.23025,0.26047,0.21513,0.040357,0.038101,0.030736,0.02945,0.025028,0.031276,0.022541,0.028304,0.029055,0.016006,0.018586,0.015239,0.01603,0.014627,0.016865,0.015143,0.016661,0.016739,0.013532,-2885506764.0,0.0035872,0.0018972,5.23e-05,0.00024827,0.0023863,0.022463,0.037626,0.32671,4.84e-05,102.6709,19.3118,3.9978,2.1488,8.8606,61.6874,186.0386,256.4108,278.8332,399.6685,3.0491,-114549.3927,-48367.2647,-1705.5533,-2339.0889,-2544.6182,-1995.1284,0.00030674,0.00057231,2.57e-05,1.62e-05,5.02e-05,0.00069546,0.0055893,0.015808,0.037391,0.035131,0.010171,0.00097846,0.0060848,0.00024528,0.00011035,0.00096384,0.0080398,0.020168,0.028462,0.051424,0.0012697,-0.0016608,0.00039669,0.017666,0.014074,0.027275,0.060473,0.085433,0.10416,0.22459,0.039149,-0.16158,-0.33612,-0.43872,-0.55177,-1.9784,0.062959,0.14663,0.36136,0.4542,0.52744,0.5848,4.1847,3.9491,1.6056,3.8013
80.44932997,1267.317574,0.28328,-1.3937,-1.6519,0.18568,0.30807,0.18614,0.023773,0.035957,0.037554,0.041313,0.038502,0.034106,0.029852,0.023137,0.024006,0.0089131,0.014581,0.018173,0.019487,0.014629,0.013159,0.01353,0.012395,0.010695,0.014785,-4809637431.0,6.31e-05,0.00024159,0.0010114,0.0055018,0.020247,0.050828,0.040859,0.0039879,2.32e-05,3.9756,28.403,28.2787,41.4527,173.8429,455.2023,692.8148,935.6604,1584.9404,1475.2637,2.437,-81578.2098,-21801.1282,-3553.3734,-9458.3925,-2560.3336,-2066.5649,2.37e-06,7.98e-06,0.00029035,0.00032573,0.002225,0.012992,0.034307,0.20675,0.50504,0.11551,0.0060332,0.00090986,0.0086763,0.00044758,0.0023977,0.01478,0.039939,0.074225,0.14407,0.25351,0.00046876,0.00061126,-0.0032147,0.0027819,0.005962,0.094313,0.14425,0.20772,0.37548,0.27784,0.034446,-0.31584,-0.49681,-0.65772,-1.1796,-0.55136,0.15477,0.33771,0.47312,0.68727,0.9627,1.1089,1.9355,2.3201,2.5608,3.3585
73.75601966,1480.159022,-0.81072,0.63887,-1.6294,0.65571,0.4686,0.52216,0.11786,0.086099,0.062997,0.069575,0.083765,0.07269,0.059061,0.069244,0.060162,0.034213,0.034634,0.026678,0.031937,0.036192,0.029479,0.025913,0.029942,0.025189,0.025076,-12527102748.0,0.00044635,0.00037846,0.0050267,0.0010074,0.005597,0.092775,0.016081,0.0031314,4.83e-07,11.814,66.2129,130.2816,96.3266,23.1086,100.5467,338.2175,560.3628,932.7577,1217.9395,0.052239,-102158.3709,-31302.4077,-6468.8781,-11671.5362,-3807.2376,-3285.8639,8.52e-05,4.53e-05,0.0016111,0.0014608,0.00019606,0.0010999,0.010028,0.064972,0.28635,0.11864,6.52e-05,1.32e-05,1.51e-05,0.00065454,0.00042883,0.00094444,0.0080772,0.02357,0.071363,0.22849,-2.83e-05,-0.00014805,-0.00037813,0.0052805,0.0053264,0.035396,0.083481,0.13487,0.23346,0.12441,0.0038646,-0.12048,-0.2567,-0.4178,-1.1309,-0.22052,0.10137,0.12856,0.23387,0.48298,0.72462,1.1034,2.5087,2.9452,1.8236,40.3348
80.72683212,1475.095039,-0.46471,0.1764,-1.3643,0.15273,0.47536,0.27693,0.02924,0.065549,0.053436,0.044517,0.04658,0.036232,0.02807,0.026588,0.030405,0.012229,0.022067,0.030378,0.017831,0.02191,0.016452,0.012849,0.013477,0.014128,0.013326,-7243424857.0,0.00020335,0.00078764,0.0012611,0.0064798,0.015817,0.072588,0.024203,0.0001001,0.00030181,9.0223,57.9348,38.3371,41.1099,165.251,322.5659,318.6101,429.1635,786.8463,1061.107,4.2361,-64518.9482,-24598.015,-3920.078,-11255.2288,-1554.8785,-1228.6959,2.02e-05,2.5e-05,0.00051085,0.00036848,0.0030761,0.012476,0.014492,0.081467,0.25607,0.13069,0.00087568,0.0084932,0.090662,0.0012731,0.0031529,0.011257,0.015519,0.026171,0.066403,0.20343,-0.002756,-0.00049611,0.0023579,0.0050657,0.010921,0.084572,0.095296,0.13049,0.24203,0.21697,0.056789,-0.27063,-0.35441,-0.39274,-1.0022,-0.22501,0.17934,0.31226,0.31463,0.38401,0.69065,1.0415,2.1779,1.9664,39.3395,2.364
84.40721405,1355.202945,-0.69319,-2.0148,-1.4919,0.20666,0.38626,0.23096,0.028805,0.033475,0.04989,0.049501,0.044341,0.027836,0.031681,0.035577,0.029511,0.011676,0.01624,0.023267,0.021635,0.02108,0.014098,0.014874,0.016996,0.013278,0.010635,-2920366634.0,6.9e-05,0.0007404,0.0061108,0.012752,0.053063,0.18992,0.010993,0.038185,4.75e-07,9.3353,244.8684,268.6361,388.7386,691.0819,1763.0812,2027.0827,1043.4278,986.0332,1254.2477,0.069144,-50767.2896,-30704.9815,-3346.2271,-2733.2963,-3800.4002,-3230.8607,5.68e-06,1.29e-05,0.0034101,0.0080053,0.010653,0.082508,0.21166,0.068067,0.37749,1.1025,4.3e-05,4.01e-05,9.84e-05,0.0042912,0.015096,0.053417,0.14093,0.074127,0.070249,0.30923,4.98e-05,-0.0086623,-0.0083178,0.0045398,0.016288,0.23827,0.32951,0.21776,0.24295,0.2249,0.0050753,-0.62209,-0.83659,-0.60854,-1.2877,-1.1153,0.33313,0.62209,0.83659,0.6253,0.69054,1.2166,2.1626,1.8073,1.5483,72.6508
